"","date","state","new_cases_norm","new_deaths_norm"
"494",2020-03-10,"Wisconsin",0.01720114050442,0
"495",2020-03-11,"Arizona",0.0418314010479603,0
"496",2020-03-11,"Arkansas",0,0
"497",2020-03-11,"California",0.0581438780374014,0.00252799469727832
"498",2020-03-11,"Colorado",0.298477903154104,0
"499",2020-03-11,"Connecticut",0.0279903097547629,0
"500",2020-03-11,"Delaware",0,0
"501",2020-03-11,"District of Columbia",0.854147240748518,0
"502",2020-03-11,"Florida",0.0140849533964104,0
"503",2020-03-11,"Georgia",0.0855556004458397,0
"504",2020-03-11,"Hawaii",0,0
"505",2020-03-11,"Illinois",0.0470917693005617,0
"506",2020-03-11,"Indiana",0.0747174410531692,0
"507",2020-03-11,"Iowa",0.0316842223662094,0
"508",2020-03-11,"Kansas",0,0
"509",2020-03-11,"Kentucky",0,0
"510",2020-03-11,"Louisiana",0.150215301445629,0
"511",2020-03-11,"Maryland",0.0661953776429746,0
"512",2020-03-11,"Massachusetts",0.0434647238128299,0
"513",2020-03-11,"Michigan",0,0
"514",2020-03-11,"Minnesota",0.0356431331098152,0
"515",2020-03-11,"Mississippi",0,0
"516",2020-03-11,"Missouri",0,0
"517",2020-03-11,"Nebraska",0.310998782958096,0
"518",2020-03-11,"Nevada",0.0988665933735654,0
"519",2020-03-11,"New Hampshire",0,0
"520",2020-03-11,"New Jersey",0.0898016730051681,0
"521",2020-03-11,"New Mexico",0,0
"522",2020-03-11,"New York",0.22515366609783,0
"523",2020-03-11,"North Carolina",0.00963055273594373,0
"524",2020-03-11,"North Dakota",0,0
"525",2020-03-11,"Ohio",0.00855472827531032,0
"526",2020-03-11,"Oklahoma",0,0
"527",2020-03-11,"Oregon",0.143173727239255,0
"528",2020-03-11,"Pennsylvania",0.0312327731735465,0
"529",2020-03-11,"Rhode Island",0,0
"530",2020-03-11,"South Carolina",0.0196690601946018,0
"531",2020-03-11,"South Dakota",0.340045452742183,0
"532",2020-03-11,"Tennessee",0.014771026926105,0
"533",2020-03-11,"Texas",0.00696819315970803,0
